Code,Item #,Type #,Type,English,Japanese,Alt,Spanish,French,German,Italian
4E24,0,1,Swords,Copper sword,どうのつるぎ,,Espada de cobre,Épée de cuivre,Kupferschwert,Spada di rame
4E25,1,1,Swords,Soldier's sword,兵士の剣,,Espada de soldado,Épée de soldat,Soldatenschwert,Spada del soldato
4E20,2,1,Swords,Warrior's sword,戦士の剣,,Espada de guerrero,Épée du guerrier,Kriegerschwert,Lama del guerriero
4E23,3,1,Swords,Rapier,レイピア,,Estoque,Rapière,Florett,Stocco
4E29,4,1,Swords,Fizzle foil,まけんしのレイピア,,Florete negamagia,Fleuret antimagie,Ätschflorett,Stocco magico
4E26,5,1,Swords,Iron broadsword,てつのつるぎ,,Espada ancha de hierro,Épée large de fer,Eisenbreitschwert,Spadone di ferro
4E27,6,1,Swords,Steel broadsword,はがねのつるぎ,,Espada de acero,Épée large d'acier,Stahlbreitschwert,Spada d'acciaio
4E28,7,1,Swords,Gigasteel broadsword,たまはがねのつるぎ,,Espada de gigacero,Épée large trempacier,Gigastahl-breitschwert,Megalama Inox
4E2A,8,1,Swords,Cautery sword,はじゃのつるぎ,,Cauterizadora,Épée ardente,Brandklinge,Spada tagliafuoco
4E2B,9,1,Swords,Aurora blade,ひかりのつるぎ,,Espada boreal,Lame de l'aurore,Auroraklinge,Lama dell'aurora
4E2C,10,1,Swords,Platinum sword,プラチナソード,,Espada de platino,Épée de platine,Platinschwert,Spada di platino
4E21,11,1,Swords,Bandit blade,さんぞくのサーベル,,Arma de ladrón,Lame de brigand,Räuberklinge,Lama del brigante
4E22,12,1,Swords,Valkyrie sword,ヴァルキリーソード,,Espada de valkiria,Épée de Valkyrie,Walkürenschwert,Lama della valchiria
4E2D,13,1,Swords,Dragonsbane,ドラゴンキラー,,Dañadragones,Fléau des dragons,Drachenspalter,Ammazzadraghi
4E2E,14,1,Swords,Dragon slayer,ドラゴンスレイヤー,,Matadragones,Tueuse de dragons,Drachentöter,Stramazzadraghi
4E2F,15,1,Swords,Falcon blade,はやぶさの剣,,Falcoespada,Lame du Faucon,Falkenklinge,Falcon
4E30,16,1,Swords,Über falcon blade,はやぶさの剣改,,Überfalcoespada,Pure lame du Faucon,Über-Falkenklinge,Ultrafalcon
4E31,17,1,Swords,Miracle sword,きせきのつるぎ,,Espada milagrosa,Épée miracle,Wunderschwert,Spada dei miracoli
4E32,18,1,Swords,Über miracle sword,きせきのつるぎ改,,Espada übermilagrosa,Pure épée miracle,Über-Wunderschwert,Spada suprema
4E33,19,1,Swords,Fire blade,ほのおのつるぎ,,Espada de fuego,Lame de feu,Feuerklinge,Spada ignea
4E34,20,1,Swords,Inferno blade,インフェルノソード,,Arma infernal,Lame des limbes,Infernoklinge,Lama infernale
4E35,21,1,Swords,Metal slime sword,メタスラの剣,,Espada limometálica,Épée de gluant de métal,Metallschleim-schwert,Spada dello Slime grigio
4E36,22,1,Swords,Liquid metal sword,はぐれメタルの剣,,Espada metalíquida,Épée de mercure,Flüssigmetall-schwert,Spada del Liquislime
4E37,23,1,Swords,Metal king sword,メタルキングの剣,,Espada real de metal,Épée royale,Metallkönig-schwert,Spada del Re Slime grigio
4E38,24,1,Swords,Rusty sword,さびついた剣,,Espada oxidada,Épée rouillée,Rostiges Schwert,Spada arrugginita
